,agent,address,beds,receptions,baths,post_code
1731,Savills - Edinburgh Town,"60 1F Palmerston Place, West End, Edinburgh EH12",3,1,2,EH12
1733,Stonefield Estate Agents,"Park Circus, Ayr KA7",3,1,2,KA7
1734,Yopa,"Balmoral Road, Dumfries DG1",2,1,1,DG1
1735,Re/Max Property Marketing Centre (ABERDEEN LTD),"Hilton Road, Woodside, Aberdeen AB24",2,1,1,AB24
1736,Your Move - Falkirk,"The Bannockburn, Carbrook Mains Farm, Torwood, Larbert FK5",3,1,2,FK5
1737,Joyce Heeps Homes LTD,"Hairmyres Park, Hairmyres, East Kilbride G75",4,1,2,G75
1740,Possible Estate Agents,"116 Newhouse Road, Perth PH1",2,1,1,PH1
1741,Premier Properties,"Union Way, Uddingston, Glasgow G71",2,1,2,G71
1743,Tailor Made Moves Ltd,"13 Ashie Road, Lochardil, Inverness IV2",3,1,1,IV2
1744,Home Sweet Home Estate Agents,"Highfield Avenue, Inverness IV3",1,1,1,IV3
1745,"Allen & Harris - Dennistoun, Glasgow","Chisholm Street, Glasgow G1",2,1,1,G1
1747,Yopa,"Durris Loan, Broughty Ferry, Dundee DD5",3,1,3,DD5
1748,Fred Estate Agents,"Meadowside Quay Walk, Glasgow G11",1,1,1,G11
1749,"Purplebricks, Head Office","Dean Street, Kilmarnock KA3",2,1,1,KA3
1750,"Clyde Property, Shawlands","Craigie Street, Flat 1/1, Queens Park, Glasgow G42",1,1,1,G42
1751,Neilsons Solicitors & Estate Agents,"6 2F1, Murieston Crescent, Edinburgh EH11",2,1,1,F1
1752,Henderson & Mackay,"Balmoral Road, Dumfries DG1",2,1,1,DG1
1753,First For Property,"Oxford Road, Renfrew PA4",2,1,1,PA4
1754,"Purplebricks, Head Office","Logierieve, Ellon AB41",5,2,2,AB41
1755,AB & A Matthews,"Mcgregor Drive, Minnigaff, Newton Stewart DG8",2,1,1,DG8
1756,"Your Move - First, Wishaw","Lawhill Road, Law, Carluke ML8",2,2,1,ML8
1757,McJerrow & Stevenson,"Courance, Parkgate, Lockerbie DG11",2,1,1,DG11
1758,"Clyde Property, West End","Leyden Court, Flat 1/2, Maryhill, Glasgow G20",2,1,1,G20
1759,Abode Estate Agency,"Braedale Avenue, Airdrie ML6",1,1,1,ML6
1760,Allen & Harris - Kilmarnock,"Kerrmuir Avenue, Hurlford, Kilmarnock KA1",3,1,1,KA1
1762,Hemmings Homes,"Chapel Street, Cleland, Motherwell ML1",3,1,1,ML1
1763,Allen & Harris - Kilmarnock,"Hunter Road, Crosshouse, Kilmarnock KA2",3,1,1,KA2
1764,Slater Hogg & Howison - Kirkcaldy,"Sir Thomas Elder Way, Kirkcaldy, Fife KY2",4,2,2,KY2
1765,Miller Gerrard,"Ericht Court, Upper Mill Street, Blairgowrie PH10",2,1,1,PH10
1766,Igloo,"Park Street, Kirkmuirhill, Lanark ML11",2,1,1,ML11
1767,"Purplebricks, Head Office","Abbotsford Road, Galashiels TD1",3,1,1,TD1
1768,Martin & Co Kirkcaldy,"Lord Gambier Wharf, Kirkcaldy KY1",2,1,2,KY1
1769,Slater Hogg & Howison - Bearsden,"Kinnaird Crescent, Bearsden, Glasgow, East Dunbartonshire G61",3,2,2,G61
1770,Countrywide Scotland - Shawlands Sales,"Minard Road, Glasgow, Lanarkshire G41",2,1,1,G41
1771,Property Bureau,"Silverbanks Court, Cambuslang, Glasgow G72",2,1,2,G72
1772,Remax Property Marketing,"The Moorings, Dalgety Bay, Dunfermline KY11",2,1,2,KY11
1773,Hemmings Homes,"Catherines Way, Motherwell ML1",4,1,2,ML1
1777,Yopa,"Carrutherstown, Dumfries DG1",5,2,2,DG1
1779,"Purplebricks, Head Office","Cassalands, Dumfries DG2",3,2,1,DG2
1780,"Allen & Harris - Dennistoun, Glasgow","Dalmarnock Drive, Glasgow G40",2,1,1,G40
1781,Fife Properties Sales & Lettings,"Forman Road, Leven KY8",3,2,2,KY8
1782,"Allen & Harris - Clarkston, Glasgow","Craighill Drive, Clarkston, Glasgow G76",3,1,1,G76
1783,Taylor & Henderson,"42 Argyle Road, Saltcoats KA21",1,1,1,KA21
1784,Stewart Watt & Co SSC,"Parkhead Gardens, West Calder EH55",2,1,1,EH55
1785,Delmor Estate Agents,"West Park Avenue, Leslie, Glenrothes KY6",2,1,1,KY6
1786,Delmor Ltd (Leven),"Wellesley Road, Methil, Leven KY8",1,1,1,KY8
1787,James Agent,"Smithy Row, Clovenfords, Galashiels TD1",3,1,2,TD1
1788,Home Connexions,"Blair Grove, Hairmyres, East Kilbride G75",3,2,3,G75
1789,Alexander McAllister & McKechnie,"John Neilson Avenue, Paisley PA1",2,1,1,PA1
1790,"Purplebricks, Head Office","Ardross, Alness IV17",3,1,2,IV17
1793,Harper Macleod,"Ashgrove Place, Elgin IV30",1,1,1,IV30
1794,Yopa,"Roseland Terrace, Dumfries DG2",3,1,1,DG2
1795,Thorntons Law LLP - St. Andrews,"Main Street, St Andrews, Fife KY16",2,2,2,KY16
1796,First For Homes,"Station Road, Thornton, Kirkcaldy KY1",3,1,1,KY1
1798,Cathedral City Estates,"Argyle Terrace, Dunblane FK15",3,1,1,FK15
1799,Mov8 Real Estate,"Smithy Brae, Kirknewton EH27",3,1,1,EH27
1800,Irving Geddes,"Dollerie Terrace, Crieff PH7",4,2,2,PH7
1802,Barratt Homes - Gilmerton Heights,"""Coull"" at Gilmerton Station Road, Edinburgh EH17",3,2,1,EH17
1804,Barratt Homes - Barratt @ St Clements Wells,"""Craigend"" at Auburn Locks, Wallyford, Musselburgh EH21",3,2,2,EH21
1805,Barratt Homes - Riverside Quarter,"""Block 8 Apartments"" at River Don Crescent, Bucksburn, Aberdeen AB21",2,1,1,AB21
1806,Barratt Homes - Harwood Park,"""Fenton"" at West Calder EH55",4,2,2,EH55
1807,Barratt Homes - Riverside Quarter,"""Block 8 Apartments"" at River Don Crescent, Bucksburn, Aberdeen AB21",2,2,1,AB21
1808,Barratt Homes - The Fairways,"""Corgarff"" at Westbarr Drive, Coatbridge ML5",4,2,2,ML5
1809,Barratt Homes - The Fairways,"""Menzies"" at Westbarr Drive, Coatbridge ML5",4,2,2,ML5
1810,Barratt Homes - Wallace Fields,"""Dunbar"" at Auchinleck Road, Glasgow G33",4,2,2,G33
1811,Barratt Homes - Merlin Gardens,"""Traquair"" at Griffon Crescent, East Kilbride, Glasgow G74",3,2,2,G74
1812,Barratt Homes - Calder Gardens,"""Menzies"" at Coatbridge ML5",4,2,2,ML5
1813,Barratt Homes - Merlin Gardens,"""Dunbar"" at Griffon Crescent, East Kilbride, Glasgow G74",4,2,2,G74
1815,David Wilson Homes - DWH @ Heritage Grange,"""Dalmally"" at Frogston Road East, Edinburgh EH17",4,2,2,EH17
1816,Barratt Homes - The Scholars,"""Dunbar"" at Holehouse Road, Kilmarnock KA3",4,2,2,KA3
1817,Keepmoat Homes - Bertramfarm,"""The Blair"" at Springhill Road, Shotts ML7",3,2,1,ML7
1818,Barratt Homes - The Scholars,"""Fenton"" at Holehouse Road, Kilmarnock KA3",4,2,2,KA3
1819,Avenue Road Estate Agents,"25 Cornhill Drive, Coatbridge ML5",3,2,1,ML5
1820,David Wilson Homes - DWH @ Dargavel Village,"""Dalmally"" at Glenluce Drive, Bishopton PA7",4,2,2,PA7
1821,Keepmoat Homes - Bertramfarm,"""The Fyvie"" at Springhill Road, Shotts ML7",3,2,2,ML7
1822,JBM Estate Agents,"52 Edinburgh Road, Peebles EH45",2,2,1,EH45
1824,Keepmoat Homes - Bertramfarm,"""The Balmoral"" at Springhill Road, Shotts ML7",2,2,1,ML7
1826,Fife Properties Sales & Lettings,"Saughtree, Ceres, Cupar KY15",4,3,2,KY15
1828,McEwan Fraser Legal,"Summerfield Terrace, Aberdeen AB24",2,1,1,AB24
1830,McEwan Fraser Legal,"Northfield Broadway, Edinburgh EH8",2,1,1,EH8
1831,Property Connections Estate Agency LTD,"Barbauchlaw Avenue, Armadale EH48",2,1,1,EH48
1835,Tait Macleod Estate Agents,"Chestnut Place, Cumbernauld, Glasgow G67",2,1,1,G67
1837,Yopa,"Rossie Terrace, Ferryden, Montrose DD10",1,1,1,DD10
1840,Keepmoat Homes- NorthBridge,"""The Templeton"" at Northbridge Sales Office, Pinkston Rd, Glasgow G4",4,2,2,G4
1849,Lindsays,"North Pilrig Heights, Pilrig, Edinburgh EH6",2,1,2,EH6
1850,Grampian Property Centre,"Knockomie Rise, Forres IV36",3,1,2,IV36
1852,Allen & Harris - Stirling,"Katrine Crescent, Callander FK17",5,2,3,FK17
1853,Ayr Estate and Letting Agents,"Main Street, Auchinleck KA18",3,1,1,KA18
1854,Allen & Harris - Bridge Of Weir,"Huntly Terrace, Paisley PA2",3,1,1,PA2
1855,Zing Property Specialists,"Market Street, Aberdeen, Aberdeenshire AB11",1,1,1,AB11
1856,"Clyde Property, Shawlands","Tantallon Road, Flat 0/2, Shawlands, Glasgow G41",2,1,1,G41
1857,Fred Estate Agents,"Richmond Park Gardens, Oatlands, Glasgow G5",2,1,2,G5
1859,JD Clark and Allan Ltd,"Main Street, East End, Chirnside TD11",3,1,1,TD11
1860,"Purplebricks, Head Office","54 Fairfield Road, Inverness IV3",5,3,2,IV3
1861,Portolio,"Avalon, Caldercruix, Airdrie ML6",3,1,2,ML6
1862,Angel Homes,"Buttermere, East Kilbride G75",2,1,2,G75
1863,Portolio,"Dr Gracie Drive, Prestonpans EH32",2,1,1,EH32
1864,Aberdein Considine,"Carseview, Bannockburn, Stirling FK7",2,1,1,FK7
1865,Countrywide Scotland - Glasgow West End Sales,"Polnoon Avenue, Knightswood, Glasgow G13",3,1,1,G13
1866,Pacitti Jones,"13 Carlyle Terrace, Rutherglen, Glasgow G73",3,1,2,G73
1867,Church of Scotland Law Department,"North Werber Park, Edinburgh EH4",2,1,2,EH4
1868,Anderson Strathern,"11 Station Road, Roslin EH25",1,1,1,EH25
1869,Donald Ross Estate Agents Ltd,"63 Mclelland Drive, Kilmarnock KA1",1,1,1,KA1
1870,Slater Hogg & Howison - Glasgow West End Sales,"Tamshill Street, Ruchill, Glasgow, Lanarkshire G20",2,1,2,G20
1871,Savills - Aberdeen,"Balbrogie Manor, Kinellar, Aberdeen AB21",4,3,2,AB21
1872,Savills - Edinburgh Town,"8.1 Eton Terrace, New Town, Edinburgh EH4",4,2,3,EH4
1873,"Purplebricks, Head Office","Stephen Avenue, Keith AB55",3,1,1,AB55
1874,Residence,"Toftcombs Avenue, Stonehouse, Larkhall ML9",4,3,3,ML9
1875,Vanilla Square,"Chesterfield Gardens, Kelvinside, Glasgow G12",2,1,2,G12
1876,Thorntons Property Services,"South Beechwood, Edinburgh EH12",2,1,1,EH12
1877,Thorntons Property Services,"Burne Cruick, Edinburgh EH12",3,1,1,EH12
1878,Thorntons Property Services,"Comely Bank Road, Edinburgh EH4",1,1,1,EH4
1879,Thorntons Property Services,"Springvalley Terrace, Morningside, Edinburgh EH10",1,1,1,EH10
1880,Thorntons Property Services,"Jamaica Mews, New Town, Edinburgh EH3",1,1,1,EH3
1881,Thorntons Property Services,"West Savile Terrace, Edinburgh EH9",1,1,1,EH9
1882,Thorntons Property Services,"Craigleith Hill Crescent, Edinburgh EH4",3,1,1,EH4
1883,Thorntons Property Services,"Kimmerghame Place, Edinburgh EH4",2,1,1,EH4
1884,"Clyde Property, West End","Garrioch Road, Flat 2/2, North Kelvinside, Glasgow G20",1,1,1,G20
1885,VMH Solicitors,"2/11 Whyte Place, Lower London Road, Edinburgh EH7",2,1,1,EH7
1886,Thorntons Property Services,"Gardner's Crescent, Edinburgh EH3",2,1,1,EH3
1887,Gilson Gray LLP,"13/4 Constitution Place, Leith, Edinburgh EH6",2,1,2,EH6
1888,Countrywide Scotland - Glasgow Sales,"Hutcheson Street, Merchant City, Glasgow G1",2,1,2,G1
1889,Countrywide Scotland - Glasgow Sales,"Rosebery Terrace, Oatlands, Lanarkshire G5",2,1,2,G5
1890,"Clyde Property, Clarkston","Alloway Drive, Newton Mearns, Glasgow G77",2,1,1,G77
1891,Countrywide Scotland - Paisley,"Glenpatrick Road, Elderslie, Johnstone PA5",2,1,1,PA5
1892,Anderson Shaw & Gilbert,"25, Laurel Avenue, Inverness IV3",3,1,1,IV3
1893,Countrywide Scotland - Shawlands Sales,"Hyndal Avenue, Glasgow, Lanarkshire G53",3,1,1,G53
1894,Primrose Properties,"Northwood Road, Tullibody, Alloa FK10",3,1,1,FK10
1895,Slater Hogg & Howison - Paisley Sales,"Glasgow Road, Paisley, Renfrewshire PA1",1,1,1,PA1
1896,"Purplebricks, Head Office","10 Burns Place, Edinburgh EH6",1,1,1,EH6
1897,Yopa,"Macdonald Road, Invergordon IV18",5,1,2,IV18
1898,Warners,"2/3 Lady Nairne Grove, Willowbrae, Edinburgh EH8",2,1,1,EH8
1899,"Purplebricks, Head Office","Moraine Avenue, Glasgow G15",2,1,1,G15
1900,Beveridge Philp and Ross,"Duff Street, Edinburgh EH11",1,1,1,EH11
1901,Hames Estates,"Millbank Circle, Bishopton PA7",4,1,1,PA7
1902,Jameson + Mackay LLP,"14 Muircroft Drive, Perth PH1",3,2,1,PH1
1903,Vanilla Square,"Balmuildy Road, Bishopbriggs, East Dunbartonshire G64",3,1,2,G64
1904,Allen & Harris - Kilmarnock,"Portland Terrace, Hurlford, Kilmarnock KA1",2,1,1,KA1
1905,Home Sweet Home Estate Agents - Fife,"Station Road, Cardenden, Lochgelly KY5",3,1,2,KY5
1906,"Clyde Property, Clarkston","Forties Court, Thornliebank, Glasgow G46",3,2,1,G46
1907,Your Move - Kirkcaldy,"Mill Street, Kirkcaldy, Fife KY1",2,1,1,KY1
1909,"Clyde Property, Perth","Strathmore Street, Perth, Perthshire PH2",1,1,1,PH2
1910,Harbor Property,"Cluny Gardens, Glasgow G69",3,1,1,G69
1911,Morgans,"2 Kilburn Road, Crossford, Dunfermline KY12",3,2,1,KY12
1912,Re/Max Property Marketing Centre (ABERDEEN LTD),"Silverhillocks, Gamrie, Banff AB45",3,1,1,AB45
1914,Allen & Harris - Ayr,"Sunnyside Crescent, Mauchline KA5",3,1,1,KA5
1915,Patch Estate Agents,"Kilnside Road, Paisley PA1",1,1,1,PA1
1916,Allen & Harris - Shawlands,"Morrison Street, Glasgow G5",1,1,1,G5
1917,Momo Homes,"Mcallister Avenue, Airdrie ML6",3,1,3,ML6
1918,Donald Ross Estate Agents Ltd,"53 Craufurdland Road, Kilmarnock KA3",2,1,1,KA3
1919,"Clyde Property, West End","Muirpark Street, Flat 2/2, Partick, Glasgow G11",2,1,1,G11
1920,"Clyde Property, Shawlands","Battlefield Avenue, Flat 2/2, Battlefield, Glasgow G42",1,1,1,G42
1921,Patch Estate Agents,"Barshaw Place, Paisley PA1",2,1,1,PA1
1922,RE/MAX Property Marketing Centre,"Balgonie Way, Plains, Airdrie ML6",4,1,2,ML6
1923,Scottish Property Centre,"Allison Street, Govanhill G42",2,1,1,G42
1924,"Clyde Property, Stirling","Davidson Street, Whins Of Milton, Stirling FK7",2,1,1,FK7
1925,Vanilla Square,"Buchanan Street, Glasgow G1",2,1,2,G1
1926,O'Malley Property,"Kingseat Drive, Tillicoultry FK13",4,1,1,FK13
1927,Home Connexions,"Mannering, Calderwood, East Kilbride G74",3,1,1,G74
1928,Caledonia Bureau,"Morrison Quadrant, Linnvale, Clydebank G81",1,1,1,G81
1929,Hannah Homes,"Obsdale Park, Alness IV17",3,1,1,IV17
1930,Homelink Estate and Letting Agents Ltd,"New Stevenston Road, Carfin, Motherwell ML1",3,1,2,ML1
