agent,price,address,beds,baths,receptions
Aberdein Considine,"£69,000","Dicks Park, East Kilbride, Glasgow G75",2 beds,1 bath,1 reception
Aberdein Considine,"£335,000","Noble Place, Edinburgh EH6",3 beds,1 bath,1 reception
Countrywide Scotland - Glasgow West End Sales,"£230,000","Great Western Road, Kelvinside, Glasgow G12",3 beds,1 bath,2 receptions
Countrywide Scotland - Dennistoun,"£115,000","Don Street, Riddrie, Glasgow, Lanarkshire G33",2 beds,1 bath,1 reception
Warners,"£280,000","42/6 Millar Crescent, Morningside, Edinburgh EH10",1 bed,1 bath,1 reception
Countrywide Scotland - Glasgow West End Sales,"£180,000","Third Part Crescent, Yoker, Glasgow G13",3 beds,2 baths,2 receptions
Aberdein Considine,"£350,000","Laverockbank Grove, Edinburgh EH5",3 beds,2 baths,1 reception
Countrywide Scotland - Burnside,"£260,000","Upper Ell Gate, Cambuslang, Glasgow, South Lanarkshire G72",4 beds,3 baths,2 receptions
Slater Hogg & Howison - Ayr Sales,"£230,000","Cloverhill, Ayr KA7",2 beds,1 bath,3 receptions
Slater Hogg & Howison - Candleriggs Sales,"£125,000","Riverview Place, Waterfront, Glasgow, Lanarkshire G5",2 beds,1 bath,1 reception
Slater Hogg & Howison - Candleriggs Sales,"£185,000","Sauchiehall Street, City Centre, Glasgow, Lanarkshire G2",3 beds,2 baths,1 reception
Slater Hogg & Howison - Bearsden,"£210,000","Corbie Place, Milngavie, Glasgow, East Dunbartonshire G62",2 beds,1 bath,1 reception
"Purplebricks, Head Office","£159,000","Park Terrace, Alloa FK10",3 beds,1 bath,2 receptions
Slater Hogg & Howison - Candleriggs Sales,"£230,000","The Matrix 112 Cowcaddens Road, Cowcaddens, Glasgow, Lanarkshire G4",3 beds,1 bath,1 reception
Slater Hogg & Howison - Paisley Sales,"£330,000","Gateside Road, Barrhead, Glasgow, East Renfrewshire G78",4 beds,2 baths,3 receptions
Pacitti Jones,"£79,995","43 Scott Street, Stirling FK8",2 beds,1 bath,1 reception
Your Move - Falkirk,"£130,000","Waggon Road, Brightons, Falkirk, Stirlingshire FK2",1 bed,1 bath,2 receptions
Smart Moves Estate Agency,"£280,000","Lochindorb Drive, Inverness IV2",4 beds,3 baths,1 reception
Allen & Harris - Bridge Of Weir,"£78,000","George Street, Howwood, Johnstone PA9",1 bed,1 bath,1 reception
Your Move - Dunfermline,"£113,000","Central Road, Crombie, Dunfermline, Fife KY12",3 beds,,
"Purplebricks, Head Office","£120,000","261 Springburn Road, Glasgow G21",2 beds,1 bath,1 reception
"Allen & Harris - Clarkston, Glasgow","£280,000","Strathnairn Way, Hairmyres, Glasgow G75",5 beds,3 baths,2 receptions
Igloo,"£119,995","Allanton Lea, Hamilton ML3",3 beds,1 bath,1 reception
Allen & Harris - Stirling,"£148,500","Forth Street, Stirling FK8",3 beds,1 bath,1 reception
"Purplebricks, Head Office","£54,000","Stanmore Place, Leven KY8",1 bed,1 bath,1 reception
"Purplebricks, Head Office","£270,000","Buchanan Crescent, Livingston EH54",4 beds,1 bath,2 receptions
Boom,"£97,000","Grant Street, Greenock PA15",2 beds,2 baths,1 reception
Deans Solicitors and Estate Agents LLP,"£475,000","35 Corstorphine Hill Gardens, Corstorphine EH12",4 beds,,
Boom,"£65,000","Brownhill Drive, Kilbirnie KA25",2 beds,1 bath,1 reception
Boom,"£189,995","Hawkhill Drive, Stevenston KA20",4 beds,3 baths,2 receptions
Boom,"£88,000","Bellmans Close, Beith KA15",2 beds,1 bath,1 reception
Deans Solicitors and Estate Agents LLP,"£190,000","Flat 5, Caiystane Court, 11 Oxgangs Road North, Colinton EH13",1 bed,,
Igloo,"£314,995","Braemar Gardens, Torrance Park, Newarthill ML1",4 beds,4 baths,2 receptions
Knightbain Estate Agents Ltd,"£238,000","Miller Street, Winchburgh, Broxburn EH52",3 beds,2 baths,2 receptions
Allen & Harris - Shawlands,"£85,000","Paisley Road West, Govan, Glasgow G51",1 bed,1 bath,1 reception
Boom,"£105,000","Linnwell Crescent, Paisley PA2",3 beds,1 bath,1 reception
Igloo,"£72,995","Glencairn Avenue, Wishaw ML2",3 beds,1 bath,1 reception
Charles Church - Charles Church at Lang Loan,"£437,995","""The Bowmore"" at Burdiehouse Road, Edinburgh EH17",5 beds,,3 receptions
Igloo,"£194,995","Mcgowan Place, Hamilton ML3",3 beds,2 baths,3 receptions
Persimmon Homes - Rosslyn Gait,"£219,000","""The Newton"" at Rosslyn Street, Kirkcaldy KY1",3 beds,,
Bidwells Perth Rural,"£35,000","Lot 4 - Merkland Farm, Bankhead, Dumfries DG1",,,
Persimmon Homes - Rosslyn Gait,"£229,000","""The Elgin"" at Rosslyn Street, Kirkcaldy KY1",3 beds,,2 receptions
Bidwells Perth Rural,"£195,000","Lot 1 - Merkland Farm, Bankhead, Dumfries DG1",3 beds,1 bath,1 reception
Slater Hogg & Howison - Cumbernauld,"£270,000","Main Street, Glenboig, Coatbridge ML5",4 beds,,
Countrywide Scotland - Shawlands Sales,"£75,000","Cleeves Road, Glasgow G53",2 beds,1 bath,1 reception
Slater Hogg & Howison - Cumbernauld,"£250,000","Main Street, Glenboig, Coatbridge ML5",4 beds,,
Tyne & Tweed Estate Agents - Berwick upon Tweed,"£125,000","Beach Avenue, Eyemouth TD14",2 beds,1 bath,1 reception
Slater Hogg & Howison - Cumbernauld,"£220,000","Main Street, Glenboig, Coatbridge ML5",3 beds,,
McQueen Legal,"£85,000","45/3 Dumbryden Gardens, Edinburgh EH14",1 bed,1 bath,1 reception
"Purplebricks, Head Office","£64,000","Tweed Street, Leven KY8",2 beds,1 bath,1 reception
Paul Fox Properties,"£103,000","Liberty Road, Bellshill ML4",3 beds,1 bath,1 reception
Cochran Dickie (Paisley),"£139,995","222 Braidcraft Road, Glasgow G53",4 beds,1 bath,1 reception
Cochran Dickie,"£99,995","2 Novar, Harvey Square, Lochwinnoch PA12",2 beds,1 bath,1 reception
Slater Hogg & Howison - Hamilton Sales,"£40,000","Biggar Road, Cleland, Motherwell, North Lanarkshire ML1",2 beds,,
Igloo,"£89,995","Copperwood Court, Hamilton ML3",2 beds,1 bath,1 reception
Pacitti Jones,"£99,000","59 Beardmore Cottages, Old Greenock Road, Inchinnan PA4",2 beds,1 bath,1 reception
K Allan Properties,"£245,000","Rosebank, St. Ola, Kirkwall KW15",3 beds,2 baths,2 receptions
